请求时间,大鱼(时间),大鱼(状态),1688(时间),1688(状态),天猫(时间),天猫(状态),淘宝(时间),淘宝(状态),百度(时间),百度(状态),京东(时间),京东(状态)
2020-02-10 13:49:16,0.448,400,5.000,200,5.001,0,5.000,0,5.001,200,5.000,200
2020-02-10 13:49:18,3.721,400,5.001,0,5.001,0,5.000,0,5.001,0,5.001,0
2020-02-10 13:49:20,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0
2020-02-10 13:49:22,5.001,0,5.002,0,5.001,0,5.001,0,5.001,0,5.001,0
2020-02-10 13:49:24,4.168,400,5.000,0,5.001,0,5.000,0,5.001,0,5.000,0
2020-02-10 13:49:26,3.582,400,5.001,0,5.001,0,5.001,0,5.002,0,5.001,0
2020-02-10 13:49:28,2.767,400,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0
2020-02-10 13:49:30,4.162,400,5.000,0,5.000,0,5.000,0,5.001,0,5.001,0
2020-02-10 13:49:32,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0
2020-02-10 13:49:34,5.001,0,5.000,0,5.000,0,5.000,0,5.001,0,5.000,0
2020-02-10 13:49:36,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:38,5.000,0,5.001,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:40,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:42,5.000,0,5.000,0,5.000,0,5.001,0,5.000,0,5.001,0
2020-02-10 13:49:44,5.001,0,5.000,0,5.000,0,5.001,0,5.000,0,5.000,0
2020-02-10 13:49:46,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:48,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:50,5.004,0,5.003,0,5.003,0,5.003,0,5.002,0,5.003,0
2020-02-10 13:49:52,5.002,0,5.002,0,5.002,0,5.001,0,5.002,0,5.002,0
2020-02-10 13:49:54,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0,5.000,0
2020-02-10 13:49:56,5.002,0,5.002,0,5.002,0,5.002,0,5.002,0,5.002,0
2020-02-10 13:49:58,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0,5.001,0
2020-02-10 13:50:00,5.002,0,5.002,0,5.001,0,5.002,0,5.002,0,5.002,0
